Input	Result
not allowable	0
not allowed	0
not rightful	0
not proper	0
not constitutional	0
not legalized	0
not sanctioned	0
not authorized	0
not warranted	0
not justified	0
not justifiable	0
not approved	0
not recognized	0
not admissible	0
not above board	0
not within the law	0
not going by the rules	0
not legit	0
not kosher	0
not by the book	0
not law-abiding	0
not righteous	0
not honorable	0
not honourable	0
not good	0
not decent	0
not proper	0
not solid	0
not virtuous	0
not moral	0
not ethical	0
not orderly	0
not well behaved	0
not peacekeeping	0
not peaceful	0
not civilized	0
not dutiful	0
not duteous	0
not obedient	0
not comliant	0
not complying	0
not disciplined	0
not order	0
not orderliness	0
regime change could result from action that is not lawful	0
Paramilitary operatives do not meet any of the prerequisites, so can be considered unlawful combatants.	0
he was not authorised to release the information	0
there is no warrant for this assumption	0
The course of events which I have described provides no warrant for any extension of that time	0
We are being forced to leave our forests not for well founded and not justified reasons, but because of habit	0
it is not financially justifiable	0
she admitted that the intermediate qualifications were not being recognised	0
Their eye-witness accounts were not admissible in court as evidence	0
Some bad cops refuse to go by the rules	0
I recognised from the beginning that it was not kosher	0
Yet I had always felt something was not kosher	0
Something else about his movements was not kosher	0
a cop who does not play it by the book	0
I'm not an orderly person in the lab	0
People are very confused in this chaotic world about what is really the right thing to do	0
a more chaotic jumble of lanes wriggle up the hillside	0
may appear to be a chaotic jumble of attitudes	0
My life feels chaotic	0
The last few weeks have been chaotic	0
snow caused chaos in the region	0
That's the way to create the impression of confusion, panic and chaos	0
You find yourself at the brink of an important change that brings emotional chaos and confusion today	0
The stoppage will cripple services across this region, leading to chaos for passengers	0
his life was as disorderly as ever	0
a disorderly pile of books	0
Refugee flows, by their nature, are chaotic and disorderly	0
they had every intention of staging a disorderly protest	0
The Constitution provides for the removal of a deputy in cases of bankruptcy and unruly or disorderly behaviour.	0
She is also charged with using obscene language, assaulting PC Ramcharan, occasioning a wound and behaving in a disorderly manner	0
The new governor did nothing to help with how disordered the town was 	0
Everyone agrees that the shop on the corner is in disorder	0
The criminals wanted to make sure the situation in the back was in chaos to make their escape easier	0
his plans have been thrown into disarray	0
Our residence in Baker Street had the reputation of being cluttered and in disarray, so perhaps he thought this was its normal appearance	0
The police force is in total disarray, desperately in need of reorganization.	0
Another handicap was the financial disarray that began to beset Germany.	0
the campaign was hopelessly disorganized	0
the majority of the subjects with a disorganized strategy show low control beliefs	0
they were all quite similar - disorganized, random, and cluttered.	0
The school itself, disorganized and chaotic, did not show the sense of urgency needed to work with a population of inner-city kids	0
Like other liberations of besieged cities in the past, it seems that the final few moves were chaotic and disorganised	0
the world has, indeed, gone all topsy-turvy	0
This topsy-turvy condition resulted in an expensive and chaotic quest	0
It all converged one day during his topsy-turvy four-month ride as chief executive officer	0
Responding to the vast demand from readers for a place in the topsy-turvy school, these two books were written to demonstrate the challenges of attending a school with such a bizarre curriculum.	0
Then of course came the drought and everything has been topsy-turvy, with some events threatened by the lack of rain and grass coverage on the playing fields	0
her imagination had gone haywire	0
the workers began working in a haywire manner	0
With my senses haywire and out of control I had no way of detecting real danger.	0
I felt my self control go haywire and my hand began to twitch uncontrollably	0
You've allowed crime to go haywire and there's no accountability.	0
If you lose sight of your goals and objectives, everything goes haywire	0
the sound of a sort of confused hammering and shouting	0
All my feelings were confused and jumbled up inside of me, and I could not focus on any one thought	0
the confused information supplied by authorities	0
reports about the incident were rather confused	0
she was utterly confused about what had just happened	0
a very confused and unhappy boy	0
pandemonium broke out	0
On the collective level, poison gas created confusion and pandemonium	0
Uproar and pandemonium followed	0
Let me tell you about the non-stop insanity, the constant chaos, the perpetual pandemonium.	0
How appalling for people living and running businesses beside this noise, mess and pandemonium	0
Clamor and outrage broke out and pandemonium reeked more havoc than anything else could.	0
the country was in turmoil	0
Sitting on his bed, he felt inner turmoil about it again as he did on countless occasions.	0
As a result of these factors there is a strong possibility of some kind of financial turmoil over the coming years	0
The announcement came at a time when the stock markets around the world were in turmoil	0
a tumultuous personal life	0
The party has always been tumultuous in personnel matters.	0
People were not aware of them in the tumultuous period during the election campaign	0
The last time that we saw this tumultuous interplay between anarchy and oligarchy was in the 18th century.	0
All of those things, one after the other, these just tumultuous events	0
a rail strike that could disrupt both passenger and freight service	0
We've done a great deal to disrupt their activity and influence the flow of money	0
The notion that a small group would disrupt the event for reasons of self-interest will be regarded as distasteful.	0
Strike action would disrupt performances in the company's current summer festival season	0
a frenzied attack	0
It was only the start of a day of frenzied police activity across London	0
Gail was becoming frenzied and was attacking randomly in the hope that he would get lucky	0
It's a frantic, frenzied melee, something I imagine a planet collapsing in on itself might sound like	0
The frenzied stage show is more manic than a Hollywood depiction of a psychiatric ward.	0
the assembly dissolved in uproar	0
Suddenly, an uproar of shouts rang through the halls as both writers and editors alike came to see what was causing the commotion.	0
The uproar that followed was both spontaneous and tremendous	0
You well know how these kinds of issues can almost get a life of their own, in terms of creating an uproar.	0
I fear he may have muddled the message	0
Paul was hopelessly muddled by the rates of exchange	0
the books were in a chaotic jumble	0
They made tracks, piling up the jumble on either side	0
It does not, however, have to be a dizzying jumble of clutter.	0
a messy divorce	0
It's a messy situation that needs to be dealt with on a case by case basis	0
If I made a mistake, picked the wrong guy or ended up in a messy situation, then I dealt with it	0
The situation is really messy with Pearl and Gavin refusing to talk	0
They will accept freedom under whatever messy circumstances history offers	0
It is messy and confusing and contradictory to look at the world situation.	0
my career was in shambles	0
I think the border is in a shambles of smuggling, pollution, contagious diseases	0
Currently the education system is in a shambles.	0
Now the U.S. telecommunications industry lies in a shambles, and it has the potential to damage the entire economy	0
He found his colony in a shambles, most of its inhabitants gone	0
an anarchic and bitter civil war	0
the alternative to a single superpower is not a multilateral utopia but the anarchic nightmare of a new Dark Age	0
On the contrary, it is only by virtue of the irrational and anarchic nature of the profit system that such a development could take place.	0
It is the drive for profit and the anarchic nature of capitalist development that creates concrete monstrosities on pristine sites of natural beauty	0
The subway became a symbol of anarchic ruin, ruled over by criminally undisciplined youths	0
Sometimes people prefer anarchy over any other authoratative rule	0
it was a lawless, anarchic city	0
Other sources mention Vlad's determination to bring about a lawless time.	0
an illicit fantasist running amok in a lawless land	0
This just gave them an opportunity to turn more of the city into the lawless chaos they tend to drag with them where ever they go	0
this crumbling and lawless city	0
the use of unlawful violence	0
persons responsible for torture or unlawful deaths	0
This was somebody trying to improve his situation in life even by unlawful means	0
they have incited others to carry out unlawful actions	0
unlawful intent in relation to explosions in this country.	0
haphazard, orderless results	0
It's made the world orderless and boundless and ubiquitous, being able to touch every corner of the earth and communicate freely	0
she was distracted by a commotion across the street	0
figure out what all the commotion is about	0
damage caused by civil commotion	0
The climax of these commotions came during the fourth week	0
Urban commotions, however, were to continue into the seventeenth century	0
A neighbour was alerted by the commotion and the Metropolitan Police and an ambulance were called	0
there had been delays and disruptions to flights	0
This disorder can cause major disruptions in family, social and occupational life.	0
We will not allow silly disruptions to disturb our events or disgrace our veterans.	0
major upheavals in the financial markets	0
times of political upheaval	0
These internal upheavals have displaced millions of desperate people who cross borders searching for freedom and protection	0
a long and complicated number of coups and upheavals continued in the country	0
They are hoping to take advantage of the public anger and media furor generated by the first of Gomery's two reports	0
The stalling of the project has caused a public furore in Waitara, which has high levels of unemployment.	0
The public furore over the future of the road continued on Monday as residents voiced their views at a public meeting	0
The troubled history of Egyptian - Iraqi relations was an added reason for both the public and press furor.	0
The publication of the government's submission provoked another public furore	0
Then suddenly there was a frenzy of excitement in one corner of the square	0
A huge frenzy would be whipped up in every American city that its auditions were held in	0
The pictures taken in the first few days after the disaster were done in a frenzy of haste and chaos	0
there was bedlam in the courtroom	0
But somehow none of them expected that to happen, not after all the confused shouting and general bedlam which had followed those predawn bugle calls.	0
In a now familiar picture of bedlam, spectators and courtroom staff fled in terror and police descended in force upon the prisoners	0
The station became a scene of bedlam as if often does, with its small confines causing waiting outbound passengers to be in the way of arriving passengers	0
complete mayhem broke out	0
High spirits often get out of control and lead to violence and mayhem.	0
Nothing adds up or makes sense and the plot descends into complete mayhem and rage	0
Those still in the city described deserted streets and mayhem in the shops as people tried to stock up on essentials	0
Rebels advanced on the capital which erupted in anarchy and mayhem as armed gangs looted and fought each other on the streets.	0
the shaken survivors retreated in confusion	0
Even in these testing situations, panic and confusion ran high when someone hit the water	0
The knights on the bridge behind were thrown into confusion, panicked, and retreated.	0
social disorganization is destroying the well-being of the population	0
the evacuation was dogged by chaos and disorganization	0
One would have thought that a rise in fascism would come from someone else exploiting the disorganisation	0
the country's descent into lawlessness	0
Throughout the spring politically motivated lawlessness mounted around the city	0
At that time there was persistent lawlessness, there were bandits, pirates, non-existent communications, areas of dense population, others of none	0
Throughout the nation's history, however, there have been periodic explosions of violence and lawlessness.	0
illegal drugs	0
the use of cluster bombs as indiscriminate weapons is also illegal	0
It is one of the biggest cases of Internet piracy and illegal copying ever discovered.	0
Many illegal drugs have to be imported into this country from different parts of the world	0
I have also seen loads of illegal dumping	0
they had deliberately fed prohibited material to their herd	0
cloning is prohibited.	0
In the present case it is such a prohibited item.	0
In some cases police witch-hunt the individuals by distributing cards in the local community with their photographs and the prohibited behaviour.	0
